metric_id,retention_mode,cohort_date,age_day,return_window_start,return_window_end,cohort_size,retained_users,retention_rate,is_complete_window,return_event_count
active_retention,exact_day,2026-06-01,1,2026-06-02,2026-06-02,2,0,0.000000,true,0
active_retention,exact_day,2026-06-01,2,2026-06-03,2026-06-03,2,0,0.000000,true,0
active_retention,exact_day,2026-06-01,3,2026-06-04,2026-06-04,2,0,0.000000,true,0
active_retention,exact_day,2026-06-01,4,2026-06-05,2026-06-05,2,0,0.000000,true,0
active_retention,exact_day,2026-06-01,5,2026-06-06,2026-06-06,2,0,0.000000,true,0
active_retention,exact_day,2026-06-01,6,2026-06-07,2026-06-07,2,0,0.000000,true,0
active_retention,exact_day,2026-06-01,7,2026-06-08,2026-06-08,2,0,0.000000,true,0
active_retention,on_or_after,2026-06-01,1,2026-06-02,2026-06-08,2,0,0.000000,true,0
active_retention,on_or_after,2026-06-01,2,2026-06-03,2026-06-08,2,0,0.000000,true,0
active_retention,on_or_after,2026-06-01,3,2026-06-04,2026-06-08,2,0,0.000000,true,0
active_retention,on_or_after,2026-06-01,4,2026-06-05,2026-06-08,2,0,0.000000,true,0
active_retention,on_or_after,2026-06-01,5,2026-06-06,2026-06-08,2,0,0.000000,true,0
active_retention,on_or_after,2026-06-01,6,2026-06-07,2026-06-08,2,0,0.000000,true,0
active_retention,on_or_after,2026-06-01,7,2026-06-08,2026-06-08,2,0,0.000000,true,0
active_retention,exact_day,2026-06-02,1,2026-06-03,2026-06-03,1,0,0.000000,true,0
active_retention,exact_day,2026-06-02,2,2026-06-04,2026-06-04,1,0,0.000000,true,0
active_retention,exact_day,2026-06-02,3,2026-06-05,2026-06-05,1,0,0.000000,true,0
active_retention,exact_day,2026-06-02,4,2026-06-06,2026-06-06,1,0,0.000000,true,0
active_retention,exact_day,2026-06-02,5,2026-06-07,2026-06-07,1,0,0.000000,true,0
active_retention,exact_day,2026-06-02,6,2026-06-08,2026-06-08,1,0,0.000000,true,0
active_retention,exact_day,2026-06-02,7,2026-06-09,2026-06-09,1,0,0.000000,true,0
active_retention,on_or_after,2026-06-02,1,2026-06-03,2026-06-09,1,0,0.000000,true,0
active_retention,on_or_after,2026-06-02,2,2026-06-04,2026-06-09,1,0,0.000000,true,0
active_retention,on_or_after,2026-06-02,3,2026-06-05,2026-06-09,1,0,0.000000,true,0
active_retention,on_or_after,2026-06-02,4,2026-06-06,2026-06-09,1,0,0.000000,true,0
active_retention,on_or_after,2026-06-02,5,2026-06-07,2026-06-09,1,0,0.000000,true,0
active_retention,on_or_after,2026-06-02,6,2026-06-08,2026-06-09,1,0,0.000000,true,0
active_retention,on_or_after,2026-06-02,7,2026-06-09,2026-06-09,1,0,0.000000,true,0
active_retention,exact_day,2026-06-03,1,2026-06-04,2026-06-04,1,0,0.000000,true,0
active_retention,exact_day,2026-06-03,2,2026-06-05,2026-06-05,1,0,0.000000,true,0
active_retention,exact_day,2026-06-03,3,2026-06-06,2026-06-06,1,0,0.000000,true,0
active_retention,exact_day,2026-06-03,4,2026-06-07,2026-06-07,1,0,0.000000,true,0
