experiment_id,user_id,variant_id,metric_id,role,metric_type,observation_unit,window_start,window_end,numerator,denominator,value
exp_paywall_onboarding_android_2026_06,U001,control,activation_rate_7d,primary,proportion,user_id,2026-06-10T09:10:00+03:00,2026-06-17T09:10:00+03:00,1.0,1.0,1.0
exp_paywall_onboarding_android_2026_06,U001,control,support_ticket_rate_7d,guardrail,proportion,user_id,2026-06-10T09:10:00+03:00,2026-06-17T09:10:00+03:00,0.0,1.0,0.0
exp_paywall_onboarding_android_2026_06,U001,control,subscription_cancel_rate_14d,guardrail,proportion,user_id,2026-06-10T09:10:00+03:00,2026-06-24T09:10:00+03:00,0.0,0.0,
exp_paywall_onboarding_android_2026_06,U001,control,refund_rate_7d,guardrail,ratio,user_id,2026-06-10T09:10:00+03:00,2026-06-17T09:10:00+03:00,0.0,0.0,
exp_paywall_onboarding_android_2026_06,U001,control,paywall_to_trial_conversion_7d,secondary,proportion,user_id,2026-06-10T09:10:00+03:00,2026-06-17T09:10:00+03:00,0.0,1.0,0.0
exp_paywall_onboarding_android_2026_06,U001,control,realized_revenue_per_user_7d,secondary,mean,user_id,2026-06-10T09:10:00+03:00,2026-06-17T09:10:00+03:00,0.0,1.0,0.0
exp_paywall_onboarding_android_2026_06,U002,treatment,activation_rate_7d,primary,proportion,user_id,2026-06-10T10:20:00+03:00,2026-06-17T10:20:00+03:00,0.0,1.0,0.0
exp_paywall_onboarding_android_2026_06,U002,treatment,support_ticket_rate_7d,guardrail,proportion,user_id,2026-06-10T10:20:00+03:00,2026-06-17T10:20:00+03:00,0.0,1.0,0.0
exp_paywall_onboarding_android_2026_06,U002,treatment,subscription_cancel_rate_14d,guardrail,proportion,user_id,2026-06-10T10:20:00+03:00,2026-06-24T10:20:00+03:00,0.0,1.0,0.0
exp_paywall_onboarding_android_2026_06,U002,treatment,refund_rate_7d,guardrail,ratio,user_id,2026-06-10T10:20:00+03:00,2026-06-17T10:20:00+03:00,0.0,1.0,0.0
exp_paywall_onboarding_android_2026_06,U002,treatment,paywall_to_trial_conversion_7d,secondary,proportion,user_id,2026-06-10T10:20:00+03:00,2026-06-17T10:20:00+03:00,1.0,1.0,1.0
exp_paywall_onboarding_android_2026_06,U002,treatment,realized_revenue_per_user_7d,secondary,mean,user_id,2026-06-10T10:20:00+03:00,2026-06-17T10:20:00+03:00,249.0,1.0,249.0
exp_paywall_onboarding_android_2026_06,U003,control,activation_rate_7d,primary,proportion,user_id,2026-06-11T11:40:00+03:00,2026-06-18T11:40:00+03:00,0.0,1.0,0.0
