run_alias,metric_name,metric_value,metric_step,logged_once,generated_at
best_optuna_trial,baseline_validation_top_k_cost,1.0,0,True,2026-07-06T12:15:00+03:00
best_optuna_trial,cost_gate_still_fails_vs_baseline,1.0,0,True,2026-07-06T12:15:00+03:00
best_optuna_trial,objective_improved_vs_source,1.0,0,True,2026-07-06T12:15:00+03:00
best_optuna_trial,test_used_for_selection,0.0,0,True,2026-07-06T12:15:00+03:00
best_optuna_trial,validation_logloss,0.696531,0,True,2026-07-06T12:15:00+03:00
best_optuna_trial,validation_top_k_total_error_cost,7.0,0,True,2026-07-06T12:15:00+03:00
phase15_baseline_cost_gate,test_used_for_selection,0.0,0,True,2026-07-06T12:15:00+03:00
phase15_baseline_cost_gate,validation_top_k_total_error_cost,1.0,0,True,2026-07-06T12:15:00+03:00
source_early_stopped_catboost,baseline_validation_top_k_cost,1.0,0,True,2026-07-06T12:15:00+03:00
source_early_stopped_catboost,test_used_for_selection,0.0,0,True,2026-07-06T12:15:00+03:00
source_early_stopped_catboost,validation_logloss,0.698394,0,True,2026-07-06T12:15:00+03:00
source_early_stopped_catboost,validation_top_k_total_error_cost,7.0,0,True,2026-07-06T12:15:00+03:00
