metric_id,segment_id,observed_date,computed_value,published_value,difference,status,is_complete_period
active_subscriptions,all,2026-03-02,998,998,0,pass,true
active_subscriptions,all,2026-03-03,1007,1007,0,pass,true
active_subscriptions,all,2026-03-04,1016,1016,0,pass,true
active_subscriptions,all,2026-03-05,1025,1025,0,pass,true
active_subscriptions,all,2026-03-06,1034,1034,0,pass,true
active_subscriptions,all,2026-03-07,1003,1003,0,pass,true
active_subscriptions,all,2026-03-08,1012,1012,0,pass,true
active_subscriptions,all,2026-03-09,1073,1073,0,pass,true
active_subscriptions,all,2026-03-10,1082,1082,0,pass,true
active_subscriptions,all,2026-03-11,1091,1091,0,pass,true
active_subscriptions,all,2026-03-12,1100,1100,0,pass,true
active_subscriptions,all,2026-03-13,1109,1109,0,pass,true
active_subscriptions,all,2026-03-14,1066,1066,0,pass,true
active_subscriptions,all,2026-03-15,1075,1075,0,pass,true
active_subscriptions,all,2026-03-16,1124,1124,0,pass,true
active_subscriptions,all,2026-03-17,1133,1133,0,pass,false
active_subscriptions,android,2026-03-02,318,318,0,pass,true
active_subscriptions,android,2026-03-03,322,322,0,pass,true
active_subscriptions,android,2026-03-04,326,326,0,pass,true
active_subscriptions,android,2026-03-05,330,330,0,pass,true
active_subscriptions,android,2026-03-06,334,334,0,pass,true
active_subscriptions,android,2026-03-07,321,321,0,pass,true
active_subscriptions,android,2026-03-08,325,325,0,pass,true
active_subscriptions,android,2026-03-09,346,346,0,pass,true
active_subscriptions,android,2026-03-10,350,350,0,pass,true
active_subscriptions,android,2026-03-11,354,354,0,pass,true
active_subscriptions,android,2026-03-12,358,358,0,pass,true
active_subscriptions,android,2026-03-13,362,362,0,pass,true
active_subscriptions,android,2026-03-14,349,349,0,pass,true
active_subscriptions,android,2026-03-15,353,353,0,pass,true
active_subscriptions,android,2026-03-16,374,374,0,pass,true
active_subscriptions,android,2026-03-17,378,378,0,pass,false
